Time,Data
732324553,0.000000
732482495,0.000000
732640456,0.000000
732797714,0.000000
733016174,0.000000
733173542,0.000000
733331374,0.000000
733488557,0.000000
733646573,0.000000
734011199,0.000000
734168623,0.000000
734326509,0.000000
734484396,0.000000
734641487,0.000000
734859762,0.000000
735018149,0.000000
735234554,0.000000
735392755,0.000000
735550383,0.000000
735707826,0.000000
735925545,0.000000
736099802,0.000000
736259115,0.000000
736416483,0.000000
736634444,0.000000
736792386,0.000000
736949329,0.000000
737167956,0.000000
737325676,0.000000
737483378,0.000000
737641190,0.000000
737858484,0.000000
738076500,0.000000
738235072,0.000000
738392607,0.000000
738550549,0.000000
738709510,0.000000
738867527,0.000000
739024525,0.000000
739183023,0.000000
739399594,0.000000
739557555,0.000000
739715405,0.000000
739873440,0.000000
740032383,0.000000
740191140,0.000000
740349434,0.000000
740506544,0.000000
740666579,0.000000
740824595,0.000000
740982519,0.000000
741140480,0.000000
741359514,0.000000
741517494,0.000000
741675474,0.000000
741904711,0.000000
742062395,0.000000
742220504,0.000000
742379057,0.000000
742536537,0.000000
742694387,0.000000
742911717,0.000000
743069456,0.000000
743227547,0.000000
743385971,0.000000
743545432,0.000000
743703448,0.000000
743861409,0.000000
744019537,0.000000
744180387,0.000000
744338255,0.000000
744496031,0.000000
744653474,0.000000
744811620,0.000000
744969636,0.000000
745127375,0.000000
745285392,0.000000
745445649,0.000000
745603165,0.000000
745760367,0.000000
745917476,0.000000
746135566,0.000000
746293601,0.000000
746510395,0.000000
746668226,0.000000
746825335,0.000000
746983500,0.000000
747141424,0.000000
747358532,0.000000
747516438,0.000000
747733583,0.000000
747951358,0.000000
748109801,0.000000
748326465,0.000000
748484555,0.000000
748642961,0.000000
748859254,0.000000
749077307,0.000000
749235546,0.000000
749393229,0.000000
749551227,0.000000
749710855,0.000000
749868501,0.000000
750026462,0.000000
750184460,0.000000
750343236,0.000000
750500345,0.000000
750658621,0.000000
750875489,0.000000
751033524,0.000000
751191133,0.000000
751408482,0.000000
751566387,0.000000
751724386,0.000000
751941309,0.000000
752100603,0.000000
752316489,0.000000
752474339,0.000000
752632411,0.000000
752790706,0.000000
752949407,0.000000
753167219,0.000000
753325292,0.000000
753483215,0.000000
753640102,0.000000
753858655,0.000000
754016227,0.000000
754173207,0.000000
754330316,0.000000
754548369,0.000000
754706200,0.000000
754864161,0.000000
755021919,0.000000
755181194,0.000000
755339600,0.000000
755496987,0.000000
755654429,0.000000
755872426,0.000000
